Crop,Site_code,Harvest_month,Year,ANPP,N_amt,N_cat,PPT
Maize,PRHPA,9,2005,13492.297,179.996,High,635.152
Maize,PRHPA,9,2005,8830.383334,60,Low,635.152
Maize,PRHPA,9,2005,11155.1,120,High,635.152
Maize,PRHPA,9,2005,10200.16667,180,High,635.152
Maize,PRHPA,9,2006,10052.825,60,Low,718.795
Maize,PRHPA,9,2006,11709.9625,120,High,718.795
Maize,PRHPA,9,2006,12105.975,180,High,718.795
Maize,PRHPA,9,2007,10574.29333,0,No,843.052
Maize,PRHPA,9,2007,12849.8,89.998,Low,843.052
Maize,PRHPA,9,2007,16456.4695,179.996,High,843.052
Maize,PRHPA,9,2007,10079.175,60,Low,843.052
Maize,PRHPA,9,2007,12975.4,120,High,843.052
Maize,PRHPA,9,2007,12320.35,180,High,843.052
Maize,PRHPA,9,2008,13404.21333,0,No,982.142
Maize,PRHPA,9,2008,13775.0092,89.998,Low,982.142
Maize,PRHPA,9,2008,15974.8515,179.996,High,982.142
Maize,PRHPA,9,2008,8567.3875,60,Low,982.142
Maize,PRHPA,9,2008,11963.2125,120,High,982.142
Maize,PRHPA,9,2008,13036.325,180,High,982.142
Maize,PRHPA,9,2010,13274.14533,0,No,982.625
Maize,PRHPA,9,2010,15183.4636,89.998,Low,982.625
Maize,PRHPA,9,2010,18767.6895,179.996,High,982.625
Maize,PRHPA,9,2010,10791.925,60,Low,982.625
Maize,PRHPA,9,2010,12647.3,120,High,982.625
Maize,PRHPA,9,2010,11549.8125,180,High,982.625
Maize,PRHPA,9,2011,10766.13067,0,No,660.629
Maize,PRHPA,9,2011,12576.556,89.998,Low,660.629
Maize,PRHPA,9,2011,15799.6825,179.996,High,660.629
Maize,PRHPA,9,2011,10421.11667,0,No,660.629
Maize,PRHPA,9,2011,9888.625,60,Low,660.629
Maize,PRHPA,9,2011,13417.7125,120,High,660.629
Maize,PRHPA,9,2011,11999.75,180,High,660.629
Maize,PRHPA,9,2013,9202.716667,0,No,576.224
Maize,PRHPA,9,2013,11659.775,60,Low,576.224
Maize,PRHPA,9,2013,14944.175,120,High,576.224
Maize,PRHPA,9,2013,14057.3375,180,High,576.224
Maize,PRHPA,9,2014,9173.534,0,No,771.627
Maize,PRHPA,9,2014,11451.2348,89.998,Low,771.627
Maize,PRHPA,9,2014,13668.7745,179.996,High,771.627
Maize,PRHPA,9,2014,7635.200001,0,No,771.627
Maize,PRHPA,9,2014,12856.9,60,Low,771.627
Maize,PRHPA,9,2014,13789.6875,120,High,771.627
Maize,PRHPA,9,2014,11884.1375,180,High,771.627
Maize,PRHPA,9,2016,13705.21267,0,No,975.589
Maize,PRHPA,9,2016,14471.728,89.998,Low,975.589
Maize,PRHPA,9,2016,18643.856,179.996,High,975.589
Maize,PRHPA,9,2016,11148.25,0,No,975.589
Maize,PRHPA,9,2016,16083.97,60,Low,975.589
Maize,PRHPA,9,2016,17558.25,120,High,975.589
Maize,PRHPA,9,2016,15991.74167,180,High,975.589
Maize,PRHPA,9,2018,12973.37133,0,No,719.684
Maize,PRHPA,9,2018,11709.0172,89.998,Low,719.684
Maize,PRHPA,9,2018,15404.571,179.996,High,719.684
Maize,PRHPA,10,1986,15287.76667,0,No,1012.173011
Maize,PRHPA,10,1986,14565.385,89.998,Low,1012.173011
Maize,PRHPA,10,1986,17197.64875,179.996,High,1012.173011
Maize,PRHPA,10,1992,14989.54867,0,No,683.4499992
Maize,PRHPA,10,1992,15320.6492,89.998,Low,683.4499992
Maize,PRHPA,10,1992,18407.118,179.996,High,683.4499992
Maize,PRHPA,10,1993,13638.074,0,No,1016.948004
Maize,PRHPA,10,1993,12821.6212,89.998,Low,1016.948004
Maize,PRHPA,10,1993,15934.8135,179.996,High,1016.948004
Maize,PRHPA,10,1996,13860.766,0,No,543.51
Maize,PRHPA,10,1996,13421.274,89.998,Low,543.51
Maize,PRHPA,10,1996,14221.1345,179.996,High,543.51
Maize,PRHPA,10,1997,11154.92867,0,No,641.477
Maize,PRHPA,10,1997,11821.2248,89.998,Low,641.477
Maize,PRHPA,10,1997,14142.0035,179.996,High,641.477
Maize,PRHPA,10,2006,12289.35,0,No,692.887
Maize,PRHPA,10,2006,13902.6728,89.998,Low,692.887
Maize,PRHPA,10,2006,16269.48475,179.996,High,692.887
Maize,PRHPA,10,2009,15952.908,0,No,665.785
Maize,PRHPA,10,2009,15344.6508,89.998,Low,665.785
Maize,PRHPA,10,2009,19978.0425,179.996,High,665.785
Maize,PRHPA,10,2009,11963.38125,60,Low,665.785
Maize,PRHPA,10,2009,13301.8,120,High,665.785
Maize,PRHPA,10,2009,13983.4125,180,High,665.785
Maize,PRHPA,10,2013,10668.424,0,No,625.246
Maize,PRHPA,10,2013,13001.5532,90.022,Low,625.246
Maize,PRHPA,10,2013,15196.292,179.998,High,625.246
Maize,PRHPA,10,2015,10833.57133,0,No,847.04
Maize,PRHPA,10,2015,13784.4584,89.998,Low,847.04
Maize,PRHPA,10,2015,18184.1205,179.996,High,847.04
Maize,PRHPA,10,2015,10303.61667,0,No,847.04
Maize,PRHPA,10,2015,15695.0625,60,Low,847.04
Maize,PRHPA,10,2015,16405.525,120,High,847.04
Maize,PRHPA,10,2015,13022.525,180,High,847.04
Maize,PRHPA,10,2017,11670.002,0,No,827.28
Maize,PRHPA,10,2017,12635.9632,90.022,Low,827.28
Maize,PRHPA,10,2017,15248.972,179.998,High,827.28
Maize,PRHPA,10,2017,5287.700001,0,No,827.28
Maize,PRHPA,10,2017,10690.225,60,Low,827.28
Maize,PRHPA,10,2017,12949.775,120,High,827.28
Maize,PRHPA,10,2017,11856.4,180,High,827.28
Maize,PRHPA,10,2019,10887.97933,0,No,642.8232
Maize,PRHPA,10,2019,11282.2924,89.998,Low,642.8232
Maize,PRHPA,10,2019,14126.1315,179.996,High,642.8232
Maize,UCB,10,2004,18276.23006,97.88,Low,1259.824995
Maize,UCB,10,2005,15995.40568,101.5,High,724.662
Maize,UCB,10,2005,15934.05806,168.2,High,724.662
Maize,UCB,10,2006,17771.08207,38.4,Low,885.608
Maize,UCB,10,2006,16192.50786,168.4,High,885.608
Maize,UCB,10,2007,21055.64429,38.4,Low,795.01
